"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","3","39","217","19512","6.67e-2","4.50e-1","6.92","1.00e+0","4.19e-1","9.24e-3","IGFBP5,FERMT2,PTK2"
"GOTERM_BP_DIRECT","extrinsic apoptotic signaling pathway in absence of ligand","2","39","36","19512","6.78e-2","4.52e-1","27.79","1.00e+0","4.21e-1","2.35e-3","COL2A1,ITGAV"
"GOTERM_BP_DIRECT","cell-cell junction assembly","2","39","38","19512","7.15e-2","4.70e-1","26.33","1.00e+0","4.37e-1","2.62e-3","CDH2,CDH11"
"GOTERM_BP_DIRECT","peptidyl-tyrosine phosphorylation","2","39","41","19512","7.69e-2","4.99e-1","24.41","1.00e+0","4.64e-1","3.04e-3","EFEMP1,PTK2"
"GOTERM_BP_DIRECT","brain development","3","39","250","19512","8.51e-2","5.40e-1","6.00","1.00e+0","5.03e-1","1.35e-2","COL4A1,HESX1,PCDH18"
"GOTERM_BP_DIRECT","extracellular matrix disassembly","2","39","46","19512","8.59e-2","5.40e-1","21.75","1.00e+0","5.03e-1","3.81e-3","ADAM10,LAMC1"
"GOTERM_BP_DIRECT","skeletal system morphogenesis","2","39","47","19512","8.76e-2","5.40e-1","21.29","1.00e+0","5.03e-1","3.98e-3","COL2A1,COL11A1"
"GOTERM_BP_DIRECT","regulation of embryonic development","2","39","47","19512","8.76e-2","5.40e-1","21.29","1.00e+0","5.03e-1","3.98e-3","LAMA1,HESX1"
"GOTERM_BP_DIRECT","placenta development","2","39","48","19512","8.94e-2","5.44e-1","20.85","1.00e+0","5.07e-1","4.14e-3","FBN2,PTK2"
"GOTERM_BP_DIRECT","lung alveolus development","2","39","50","19512","9.30e-2","5.59e-1","20.01","1.00e+0","5.20e-1","4.49e-3","IGFBP5,FBN1"
"GOTERM_BP_DIRECT","negative regulation of cell adhesion","2","39","51","19512","9.48e-2","5.63e-1","19.62","1.00e+0","5.24e-1","4.67e-3","ADAM10,FBLN1"

