,0-7d,7-14d,14-30d,30-60d,60-90d,90-120d,120-180d,180-270d,270-365d,365-450d
ITGB7,0.0047705965,0.0012282918,0.008948179,0.004718909,0.011357264,0.005577755,0.010338366,0.0042847204,0.0,0.07829523
ITGB8,1.1881607,0.5619079,1.30968,0.8274573,1.1961321,0.79869276,1.0881549,1.1740686,0.36315975,4.824933
ITGA2B,0.13972794,0.2386432,0.15790069,0.08266417,0.107059255,0.079632685,0.10028052,0.035341218,0.009482301,0.1158018
YAP1,2.652347,2.0568125,1.3879985,0.5107751,0.5642857,0.36233845,0.6715765,0.49366465,0.15282603,1.1908578
WWTR1,0.89289474,0.37368187,0.535637,0.27735656,0.45756075,0.40403232,0.7024765,0.83531255,0.04592312,3.604319
LATS1,0.90818965,1.0467781,0.6026431,0.5062682,0.61053175,0.628359,0.7439556,0.40750465,0.20338216,1.2944903
LATS2,0.56224835,0.6406492,0.38838556,0.13812026,0.13633434,0.10031631,0.1772047,0.13694346,0.030702034,0.4994453
STK3,2.2496004,0.90355206,0.790622,0.30384454,0.46237585,0.3250624,0.5169434,0.291213,0.1944716,1.3559613
STK4,0.95922476,2.243555,1.153255,0.96505636,0.97483754,1.044098,1.1028986,0.6369284,0.4184653,0.6576982
MOB1A,1.0988331,2.7645586,1.4653397,0.99185854,1.0042446,0.82806104,0.94358575,1.098016,0.67231685,1.6263498
MOB1B,1.2915176,0.78678006,0.86081195,0.49189207,0.6460079,0.5555909,0.77666944,0.40747797,0.21642523,1.232526
SAV1,0.67339325,2.160109,0.8766953,0.5845478,0.69424325,0.7125347,0.7403338,0.7768858,0.26170006,1.6108054
TEAD1,3.1817884,2.508731,1.5404683,0.8689794,0.9431155,0.8216674,1.2547652,0.8450743,0.3430138,2.141227
TEAD2,0.8417088,3.723991,1.4741355,0.7289479,0.48460978,0.34383208,0.45392853,0.56620383,0.52964103,0.3349976
TEAD3,0.40849856,0.81629217,0.3798642,0.19330412,0.1890123,0.12849373,0.16943097,0.16322276,0.06188922,0.746099
TEAD4,0.2597726,0.5599939,0.16161405,0.066406585,0.051847793,0.042791773,0.045222644,0.04332708,0.017876688,0.3326297
NF2,0.49645674,0.9422164,0.585504,0.51606,0.671627,0.67713404,0.8073426,0.5879465,0.47165444,2.2117984
WWC1,0.4068409,0.47318724,0.29920015,0.31790206,0.43223363,0.55871713,0.6496112,0.45626655,0.12971553,0.77131724
AMOT,1.3160698,0.3682095,0.33560106,0.17727746,0.20342833,0.1814477,0.31070197,0.26807088,0.08030962,0.58715516
AMOTL1,1.4369544,0.85296565,0.6633391,0.42387253,0.6283768,0.56657094,0.741377,0.430772,0.24620813,1.2322096
