gene_symbol,pct_cells_expressing,mean expression,is_hvg_in_atlas,Category,Subcategory,Matrisome Division,passes_global_filter,max_pct_any_celltype,passes_celltype_filter,top_celltype,top_region,temporal_cv,passes_combined,hvg_passes_combined
ADAM12,3.404933304263338,0.16879654,False,ECM Regulators,ADAMs (Sheddases),Matrisome-Associated,True,18.57537611298709,True,NC Derivatives,Ventral midbrain,0.83105326,True,False
MMP11,2.908993560293588,0.14086257,True,ECM Regulators,Matrix Metalloproteinases,Matrisome-Associated,True,11.294010059442106,True,PSC,Ventral midbrain,0.58753747,True,True
LOXL2,2.441970927007419,0.11685451,True,ECM Regulators,Crosslinking Enzymes,Matrisome-Associated,True,23.04526748971175,True,PSC,Unspecific,1.2524455,True,True
ADAMTS2,2.074181425500642,0.098956235,False,ECM Regulators,ADAMTS (Aggrecanases / Procollagen),Matrisome-Associated,True,10.377648142462622,True,NC Derivatives,Ventral midbrain,0.79561013,True,False
ADAMTS5,1.7422559186893203,0.08689279,False,ECM Regulators,ADAMTS (Aggrecanases / Procollagen),Matrisome-Associated,True,4.523590215945187,False,NC Derivatives,Dorsal midbrain,0.98428947,False,False
ADAMTS13,1.7058836154076304,0.08150113,False,ECM Regulators,ADAMTS (Aggrecanases / Procollagen),Matrisome-Associated,True,4.115226337448558,False,Astrocyte,Ventral midbrain,0.5895672,False,False
ADAMTS4,1.5434507827396529,0.0785453,False,ECM Regulators,ADAMTS (Aggrecanases / Procollagen),Matrisome-Associated,True,8.853529171766587,True,EC,Dorsal telencephalon,0.4972364,True,False
MMP28,1.2558610803934829,0.060992196,False,ECM Regulators,Matrix Metalloproteinases,Matrisome-Associated,True,6.57937740011406,True,Astrocyte,Unspecific,1.7247896,True,False
TIMP4,0.6274222316101696,0.028966678,False,ECM Regulators,TIMPs,Matrisome-Associated,False,6.894894894895,True,OPC,Unspecific,0.8766696,False,False
MMP9,0.4152881149545224,0.0196957,True,ECM Regulators,Matrix Metalloproteinases,Matrisome-Associated,False,16.666666666666664,True,Microglia,Ventral midbrain,1.4052415,False,False
MMP19,0.2746560727626796,0.013148897,False,ECM Regulators,Matrix Metalloproteinases,Matrisome-Associated,False,1.3212103992044237,False,MC,Unspecific,1.9143987,False,False
TGM2,0.2616094857159665,0.012732079,False,ECM Regulators,Crosslinking Enzymes,Matrisome-Associated,False,4.166666666666666,False,Microglia,Unspecific,0.792558,False,False
LOXL4,0.24771571769219405,0.011854965,False,ECM Regulators,Crosslinking Enzymes,Matrisome-Associated,False,1.168997219572578,False,MC,Ventral midbrain,1.5548762,False,False
MMP25,0.19462570979647803,0.008806041,False,ECM Regulators,Matrix Metalloproteinases (MT-MMPs),Matrisome-Associated,False,3.1550068587105566,False,PSC,Unspecific,1.3747158,False,False
MMP10,0.16039959832326942,0.008315629,True,ECM Regulators,Matrix Metalloproteinases,Matrisome-Associated,False,0.7082986625535245,False,MC,Ventral midbrain,1.2739147,False,False
MMP7,0.09691750377560207,0.005159409,True,ECM Regulators,Matrix Metalloproteinases,Matrisome-Associated,False,0.841572023858164,False,Astrocyte,Unspecific,2.211558,False,False
MMP1,0.05546211463149266,0.00291561,False,ECM Regulators,Matrix Metalloproteinases,Matrisome-Associated,False,2.083333333333333,False,Microglia,Ventral midbrain,1.1772971,False,False
MMP3,0.046651432470074305,0.0024153355,True,ECM Regulators,Matrix Metalloproteinases,Matrisome-Associated,False,0.7315957933241883,False,PSC,Medulla,1.097759,False,False
MMP12,0.0071163202072995375,0.00036801308,True,ECM Regulators,Matrix Metalloproteinases,Matrisome-Associated,False,1.0416666666666665,False,Microglia,Medulla,1.1946732,False,False
MMP13,0.006551532889259887,0.00033485604,False,ECM Regulators,Matrix Metalloproteinases,Matrisome-Associated,False,0.06291478091449676,False,MC,Unspecific,0.9114983,False,False
MMP8,0.0011860533678832567,5.909252e-05,False,ECM Regulators,Matrix Metalloproteinases,Matrisome-Associated,False,0.0044640465689338065,False,Ventral Telencephalic Neuron,Ventral midbrain,1.4240113,False,False
