gene_symbol,Category,Subcategory,pct_cells_expressing,mean expression,is_hvg_in_atlas,max_pct_any_celltype,top_celltype,top_region,temporal_cv
LAMA1,Laminins,Alpha Chains,5.534689801855328,0.27076584,False,64.33470507544754,PSC,Dorsal midbrain,1.2233272
LAMA4,Laminins,Alpha Chains,3.5305420037951363,0.17815553,True,45.338245829497886,NC Derivatives,Unspecific,1.5764587
LAMA2,Laminins,Alpha Chains,1.5155502892284571,0.07756844,True,19.291781803295073,NC Derivatives,Unspecific,0.96531343
CCN1,Matricellular Proteins,CCN Family,2.449369640873725,0.12595764,True,9.285390933195613,CP,Dorsal midbrain,1.1172175
CCN2,Matricellular Proteins,CCN Family,1.8198576961878326,0.09799181,True,9.14440923494818,CP,Dorsal midbrain,1.4852828
ACTB,Mechanotransduction,Cytoskeletal,97.23316340602211,7.6849146,False,100.00000000000348,Microglia,Ventral telencephalon,0.07535808
RAC1,Mechanotransduction,Rho GTPase Signaling,81.86467921651791,5.1637783,False,99.49702789209309,Astrocyte,Dorsal telencephalon,0.094648644
CDC42,Mechanotransduction,Rho GTPase Signaling,73.2550613405481,4.4542317,False,97.8509373571136,PSC,Ventral telencephalon,0.21126403
RHOA,Mechanotransduction,Rho GTPase Signaling,58.07538555145958,3.3107142,False,99.26840420667928,PSC,Unspecific,0.28652775
SYNE2,Mechanotransduction,LINC Complex,47.20153531752841,2.795328,True,92.94369208835322,Dorsal Telencephalic IP,Dorsal telencephalon,0.32312772
MYH10,Mechanotransduction,Cytoskeletal,38.90480961574433,2.086373,False,87.60859625057445,PSC,Dorsal midbrain,0.5127054
ROCK1,Mechanotransduction,Rho GTPase Signaling,32.03925497783505,1.6726807,False,74.71422039323498,PSC,Ventral telencephalon,0.47043642
CRK,Mechanotransduction,Focal Adhesion Mechanosensors,31.23042305969176,1.6155564,False,61.408321902150654,PSC,Ventral telencephalon,0.37294805
