,Cerebellum,Dorsal midbrain,Dorsal telencephalon,Hypothalamus,Medulla,Pons,Thalamus,Unspecific,Ventral midbrain,Ventral telencephalon
LAMA4,0.15158667,0.18678866,0.021266304,0.080571875,0.20144214,0.16555755,0.10510515,0.573456,0.11847519,0.07390252
LAMA5,0.16011566,0.2552018,0.1791521,0.1552363,0.27164486,0.24042788,0.23580438,0.5733399,0.45659283,0.26321253
LAMB1,0.3183335,0.35652462,0.17971008,0.18064933,0.31144908,0.30350763,0.43363822,0.7751707,0.51897925,0.18471846
LAMB2,0.27735382,0.32146943,0.10278029,0.11681058,0.42127666,0.22736238,0.27081174,0.95630586,0.5504023,0.13910575
LAMB3,0.020667134,0.0480057,0.006648489,0.057356615,0.044119947,0.049363125,0.06201447,0.0119981645,0.04107858,0.060495693
LAMB4,0.17843734,0.22895941,0.018052414,0.029590873,0.071455225,0.059583217,0.015488361,0.033100374,0.29688296,0.023242319
LAMC1,0.40138403,0.45325986,0.24103417,0.17787129,0.44229087,0.30304685,0.22869574,0.9417555,0.583381,0.20316459
LAMC2,0.050808545,0.041745003,0.033347823,0.019565195,0.031169165,0.033286914,0.019397125,0.036806222,0.064547904,0.026902357
LAMC3,0.012683913,0.009568218,0.0039232066,0.0019431829,0.008247588,0.005516972,0.0036609774,0.03948545,0.00861801,0.0031017496
ACAN,0.006927069,0.007258354,0.0069129867,0.0035700416,0.0074540414,0.0067224842,0.0025018388,0.02170301,0.013640044,0.0044029644
VCAN,2.5594335,1.7370679,2.7468467,1.4678667,1.7217704,1.5060468,1.6118062,2.3004053,1.5404176,2.7193236
NCAN,0.7260423,0.851797,1.4806819,0.6252587,0.6592238,1.1085644,0.63018775,1.3703912,0.8685622,1.3949949
BCAN,0.32026082,0.22703093,0.29054394,0.1840012,0.54242706,0.27857995,0.18063416,2.11116,0.35000587,0.57139266
DCN,0.16546153,0.19186744,0.023238,0.124323554,0.21345203,0.13095835,0.1325247,0.9700913,0.8452,0.029569285
BGN,0.017542997,0.03312154,0.010183455,0.012088545,0.04438821,0.02847894,0.023307232,0.24276085,0.06333781,0.01319121
LUM,0.24435252,0.1941531,0.025813485,0.06837628,0.26351294,0.12076922,0.13690628,0.68682176,0.4091301,0.024673931
FMOD,0.0030012294,0.0046240543,0.0006651763,0.0028721043,0.0046419944,0.0023087831,0.006224908,0.033748753,0.005716222,0.00095064664
