,Astrocyte,CP,Dorsal Telencephalic IP,Dorsal Telencephalic NPC,Dorsal Telencephalic Neuron,EC,Glioblast,MC,Microglia,NC Derivatives,Neuroepithelium,Non-telencephalic NPC,Non-telencephalic Neuron,OPC,PSC,Ventral Telencephalic NPC,Ventral Telencephalic Neuron
ITGA2B,0.09971607,0.07343693,0.07652213,0.06838222,0.06545669,0.015248241,0.07113367,0.11254391,0.07526304,0.040253863,0.1505159,0.17179628,0.122601256,0.11435731,0.28530413,0.08677478,0.07239472
YAP1,1.4074274,0.95744187,0.4095395,0.8195397,0.04710595,0.33283445,0.9521047,1.7235367,0.053603724,1.0549489,2.1408708,1.3205649,0.0886327,0.56080335,3.4502733,0.9265473,0.04793003
WWTR1,1.5011166,0.6033364,0.05331317,0.090745315,0.04618136,2.0091197,1.0194955,2.3040614,0.0,2.6599438,0.82013214,0.8861864,0.10738807,0.65241784,0.7897747,0.6728052,0.13159542
LATS1,0.6909989,0.391233,0.69185615,0.5053848,0.65012014,0.24702932,0.5687845,0.6346325,0.40365702,0.3753629,0.8029671,0.55260736,0.51124114,0.6900691,0.9444315,0.69372165,0.6568748
LATS2,0.3528962,0.27978104,0.06615215,0.102627814,0.025247164,0.0443105,0.21368644,0.4398964,0.36129317,0.5388648,0.56929564,0.30806294,0.13467452,0.115179285,0.65442324,0.30273712,0.078771316
STK3,0.822113,0.40471983,0.5296959,0.46817854,0.056271024,0.18002275,0.64037085,1.275805,0.25309455,0.7160224,1.2666537,1.0306675,0.106045924,0.49838343,1.1011455,0.6155956,0.053696062
STK4,0.8330601,0.75246143,1.3615785,1.0761889,1.1869223,0.62369764,0.9208407,0.68462163,1.3935404,0.688225,1.4156312,0.8613993,0.7839129,1.140394,1.6706692,1.3470612,1.0371001
MOB1A,1.5383976,1.1757373,1.8390374,1.3983068,0.5935061,0.95393145,1.4129585,1.5676018,3.037592,1.3532532,1.9005328,1.2261145,0.6245939,0.91667086,2.9463382,1.7163333,0.6036025
MOB1B,0.99259317,0.46733385,0.5343696,0.40828943,0.49584183,0.4273897,0.6411041,0.9202897,0.33010584,0.49908763,1.1940637,0.8439182,0.49793956,0.825226,0.884286,0.68048316,0.6102238
SAV1,1.1356558,0.5862032,1.0343795,0.87802464,0.57562065,0.3429171,0.92033404,1.2631626,0.4671528,0.83406836,1.1978849,0.71123004,0.37112483,0.7359472,2.2946749,1.0352786,0.40154698
TEAD1,1.7963834,0.9469449,1.552445,1.0315042,0.4639153,0.5753742,1.3748261,1.7029412,0.10951954,1.7793126,2.2192204,1.5423913,0.78178275,1.7704737,1.995034,1.5715743,0.82274634
TEAD2,0.6387573,0.6407449,1.7896646,1.3667896,0.22509126,0.7872207,0.7663433,0.5950609,0.108370975,0.65321034,1.9688015,0.95707947,0.21087821,0.47075948,3.4196079,1.5175784,0.2474391
TEAD3,0.35322353,0.2187595,0.2959072,0.2714656,0.0617205,0.011940318,0.26168868,0.43409306,0.0,0.1617872,0.553272,0.32779652,0.1054732,0.17527214,0.7401104,0.37340412,0.05587551
TEAD4,0.04824565,0.07416033,0.1307149,0.13491346,0.033926193,0.10777125,0.04283848,0.091788046,0.063786864,0.1609075,0.28183833,0.08142917,0.01598142,0.03436986,2.0975006,0.11295019,0.009089969
NF2,0.99717873,0.49018016,0.68392795,0.45692858,0.688716,0.4504748,0.8049705,0.6925892,0.62623686,0.46717632,0.6898614,0.51807666,0.56373966,0.8615083,0.98885494,0.76753765,0.63489944
WWC1,1.06805,0.428764,0.37655464,0.47344273,0.58572626,0.30802238,0.53432125,0.24092588,0.0,0.075873874,0.32127234,0.4726772,0.15108076,0.21474335,0.44822675,0.19630872,0.08112979
AMOT,0.6985015,0.21458437,0.18452606,0.1250618,0.17542765,0.08006249,0.2954033,0.3041695,0.050144233,0.19284374,0.6215728,0.25540194,0.17550062,0.32096517,1.0156025,0.32245886,0.16033998
AMOTL1,0.7387212,0.40449822,0.75628275,0.41664436,0.5683088,0.29543963,0.5346697,0.87705016,0.0,0.60835856,0.94074273,0.6266968,0.41905576,0.47094208,1.9725728,0.6604527,0.54548144
AMOTL2,0.42878416,0.6812424,1.7844336,0.4762461,0.60718,0.22308165,0.3664861,0.24614929,0.0,0.48260522,0.78093123,0.4314864,0.49439865,0.57052207,1.5493147,0.65447265,0.5338142
TLN1,1.5644441,1.0416003,0.94734704,0.77322006,0.39185274,0.6790037,1.3718148,1.6101946,2.2812314,1.7330747,1.1401372,0.8477239,0.4018966,1.0527682,2.2298892,0.9395725,0.485679
TLN2,0.751534,0.503604,0.15650992,0.521579,0.5538973,0.061914325,0.6911594,0.62068677,0.09481282,0.4564829,0.79763883,0.5884534,0.4725112,0.47194526,1.8233,0.40410346,0.43292493
VCL,1.6792362,1.0110552,0.5934455,0.7770145,0.47920352,0.9957273,1.2058331,1.2206668,0.4298032,1.3802707,1.7223424,1.0245963,0.52649075,0.89844346,2.7769756,0.9012515,0.49070504
PXN,0.6322132,0.3116285,0.15554096,0.18401471,0.19202922,0.06779832,0.32525325,0.4147735,0.63991886,0.55164206,0.50467426,0.3019821,0.23541215,0.27707013,1.0679581,0.2711216,0.118310586
ZYX,1.0749731,0.6401046,0.76262313,0.7151599,0.5981392,0.99677354,1.1365784,0.90096515,1.5873871,0.6618095,0.98767686,0.8503804,0.6314771,1.2442521,1.8687748,0.92990935,0.6076672
FERMT1,0.015272807,0.016435262,0.0008691179,0.0050743097,0.0061510517,0.005711201,0.010738959,0.081324354,0.0,0.047211386,0.13192306,0.02441977,0.0098916665,0.1995618,0.494552,0.0151965385,0.008488741
FERMT2,3.5128062,0.8107101,1.5766739,1.5433651,0.76993394,0.88739765,2.453559,1.4592451,0.050397333,1.6073807,1.9267801,1.2919958,0.6373548,1.8339485,3.4996982,1.7534144,0.78566784
FERMT3,0.043983445,0.016112002,0.020230087,0.019299297,0.030119337,0.003742497,0.039522786,0.0402745,2.1095438,0.02040143,0.02152582,0.03228483,0.026980862,0.06503281,0.02790155,0.03990429,0.040823765
ILK,2.7294693,1.6864649,2.1920733,1.6940135,1.1618539,1.3694365,2.5890472,1.7608392,1.5430679,2.1220365,1.9479951,1.8676101,1.2023451,1.538759,2.92717,2.0937414,1.009507
PARVA,0.42072546,0.55510765,0.37996152,0.35843205,0.08399553,0.0080885505,0.45870566,0.8574011,0.0,1.0852488,0.9844783,0.45279127,0.20559825,0.3010928,1.6613617,0.4952003,0.123754606
PARVB,0.056181516,0.18216921,0.053327683,0.09201356,0.07965225,0.01673122,0.068086796,0.65499276,1.2016346,0.7303743,0.3135383,0.13901761,0.14098574,0.05139472,0.9599175,0.109748736,0.07024974
PTK2,1.732465,1.0831711,1.9318635,1.6315002,1.2715727,0.75664896,1.5164732,1.748794,0.10867481,1.6415573,2.6914847,2.0722513,1.4093498,1.7546518,2.9975035,1.8817052,1.2330198
SRC,0.3641508,0.2002209,0.5200128,0.26129577,0.47029346,0.11207056,0.34285757,0.24007714,0.2647022,0.20422484,0.41395926,0.2585548,0.38965634,0.3410151,1.1054945,0.534233,0.49256364
BCAR1,1.0015601,0.81484383,0.9183111,0.5222076,0.6885394,1.8857162,0.84762996,0.92027193,0.1423512,0.70424193,0.80561835,0.63934183,0.70213294,0.96306205,1.6125704,0.8230614,0.5808117
CRK,2.0922456,1.1331679,1.7062193,1.3660016,1.842324,0.97752094,1.8421048,1.3333491,1.114017,1.2169995,1.8392384,1.4206392,1.3868054,1.9702152,2.5936692,1.9781102,1.7228878
